Station,Line(s),Local Authority,Zone(s),Usage
Acton Town,District Piccadilly,Ealing,3,6.06
Aldgate,Metropolitan[a] Circle,City of London,1,7.22
Aldgate East,Hammersmith & City[d] District,Tower Hamlets,1,12.25
Alperton,Piccadilly[h],Brent,4,3.17
Amersham,Metropolitan,Chiltern,9,2.44
Angel,Northern,Islington,1,19.22
Archway,Northern,Islington,2&3,8.94
Arnos Grove,Piccadilly,Enfield,4,4.71
Arsenal,Piccadilly,Islington,2,2.90
Baker Street,Metropolitan[b] Bakerloo Circle Jubilee Hammersmith & City,City of Westminster,1,32.18
Balham,Northern,Wandsworth,3,13.47
Bank,Waterloo & City Northern Central,City of London,1,52.31 [note 3]
Barbican,Metropolitan[b] Circle Hammersmith & City,City of London,1,11.44
Barking,District[j] Hammersmith & City,Barking and Dagenham,4,15.59
Barkingside,Central,Redbridge,4,1.35
Barons Court,District Piccadilly,Hammersmith and Fulham,2,7.50
Bayswater,District[c] Circle,City of Westminster,1,5.69
Becontree,District,Barking and Dagenham,5,3.40
Belsize Park,Northern,Camden,2,5.93
Bermondsey,Jubilee,Southwark,2,9.38
Bethnal Green,Central,Tower Hamlets,2,16.08
Blackfriars,District[i] Circle,City of London,1,13.14
Blackhorse Road,Victoria,Waltham Forest,3,8.63
Bond Street,Central Jubilee,City of Westminster,1,19.80
Borough,Northern,Southwark,1,5.31
Boston Manor,Piccadilly[l],Ealing Hounslow,4,2.28
Bounds Green,Piccadilly,Haringey,3&4,6.56
Bow Road,District[j] Hammersmith & City,Tower Hamlets,2,5.77
Brent Cross,Northern,Barnet,3,2.40
Brixton,Victoria,Lambeth,2,29.37
Bromley-by-Bow,District[j] Hammersmith & City,Tower Hamlets,2&3,3.41
Buckhurst Hill,Central,Epping Forest,5,2.06
Burnt Oak,Northern,Barnet,4,4.08
Caledonian Road,Piccadilly,Islington,2,6.00
Camden Town,Northern,Camden,2,23.37
Canada Water,Jubilee,Southwark,2,11.81
Canary Wharf,Jubilee,Tower Hamlets,2,51.81
Canning Town,Jubilee,Newham,2&3,10.10
Cannon Street,District[i] Circle,City of London,1,5.30
Canons Park,Jubilee[e],Harrow,5,2.60
